Time,EMG,Force
0.582,-0.002164,12.264146
0.583,-0.00635,12.038198
0.584,-0.010859,12.207659
0.585,-0.016172,12.235903
0.586,-0.022773,12.631311
0.587,-0.029214,11.981711
0.588,-0.035815,11.840494
0.589,-0.03984,11.925225
0.59,-0.04145,12.207659
0.591,-0.040806,12.433607
0.592,-0.036137,12.518337
0.593,-0.028731,12.603068
0.594,-0.021163,12.490094
0.595,-0.016011,12.235903
0.596,-0.013113,12.094685
0.597,-0.010215,12.292389
0.598,-0.007155,12.264146
0.599,-0.003613,12.235903
0.6,-0.000554,12.348876
0.601,0.002827,12.687798
0.602,0.00492,12.490094
0.603,0.006208,12.603068
0.604,0.007174,12.546581
0.605,0.00798,12.348876
0.606,0.008302,12.320633
0.607,0.008463,12.235903
0.608,0.00959,12.235903
0.609,0.011844,12.320633
0.61,0.013776,12.235903
0.611,0.013615,12.433607
0.612,0.010878,12.320633
0.613,0.010556,12.46185
0.614,0.009912,12.631311
0.615,0.008141,12.433607
0.616,0.000895,12.405363
0.617,-0.009249,12.264146
0.618,-0.016977,12.094685
0.619,-0.01907,12.094685
0.62,-0.021324,12.235903
0.621,-0.025349,12.264146
0.622,-0.027765,12.405363
0.623,-0.028731,12.264146
0.624,-0.030019,12.235903
0.625,-0.03018,12.348876
0.626,-0.027604,12.235903
0.627,-0.023578,12.094685
0.628,-0.019392,11.755764
0.629,-0.016333,12.603068
0.63,-0.013757,12.038198
0.631,-0.012308,12.405363
0.632,-0.012147,12.37712
0.633,-0.012469,12.066442
0.634,-0.009732,11.840494
0.635,-0.004257,11.925225
0.636,0.003149,11.840494
0.637,0.010717,11.868738
0.638,0.017318,12.009955
0.639,0.021987,12.151172
0.64,0.026013,12.179416
0.641,0.02875,12.348876
0.642,0.029877,12.038198
0.643,0.029072,12.122929
0.644,0.026979,12.235903
0.645,0.025369,12.320633
0.646,0.022792,12.094685
0.647,0.021665,11.812251
0.648,0.01442,11.72752
0.649,0.022953,11.812251
0.65,0.017157,11.812251
0.651,0.014742,11.896981
0.652,0.014742,12.038198
0.653,0.013776,12.038198
0.654,0.015225,12.066442
0.655,0.016191,12.151172
0.656,0.015386,12.038198
0.657,0.01442,12.122929
0.658,0.013615,12.066442
0.659,0.012649,12.038198
0.66,0.011844,11.925225
0.661,0.010234,11.896981
0.662,0.007657,11.784007
0.663,0.004437,11.896981
0.664,-0.000876,11.868738
0.665,-0.008121,12.066442
0.666,-0.01585,12.009955
0.667,-0.022773,12.179416
0.668,-0.027765,11.953468
0.669,-0.03179,12.235903
0.67,-0.036459,11.784007
0.671,-0.041289,11.699277
0.672,-0.046281,11.671033
0.673,-0.052721,12.151172
0.674,-0.062704,12.348876
0.675,-0.073169,12.546581
0.676,-0.083313,12.348876
0.677,-0.090075,11.953468
0.678,-0.093618,11.953468
0.679,-0.091041,12.320633
0.68,-0.083635,12.37712
0.681,-0.07172,12.179416
0.682,-0.057551,12.151172
0.683,-0.042739,12.066442
0.684,-0.025994,12.066442
0.685,-0.008604,12.264146
0.686,0.006047,12.37712
0.687,0.021665,12.433607
0.688,0.032453,12.235903
0.689,0.042114,12.235903
0.69,0.049198,12.348876
0.691,0.054672,12.292389
0.692,0.056443,12.348876
0.693,0.054833,12.066442
0.694,0.050486,12.179416
0.695,0.046944,12.066442
0.696,0.045173,12.094685
0.697,0.043241,12.151172
0.698,0.041309,11.925225
0.699,0.037766,11.981711
0.7,0.033902,12.179416
0.701,0.028428,12.151172
0.702,0.021665,12.122929
0.703,0.015064,12.179416
0.704,0.0112,12.320633
0.705,0.008785,12.207659
0.706,0.006852,12.207659
0.707,0.004115,12.151172
0.708,0.002827,12.235903
0.709,0.002022,12.122929
0.71,0.001539,12.094685
0.711,9.00E-05,11.953468
0.712,-0.002808,11.55806
0.713,-0.00474,12.038198
0.714,-0.005384,12.348876
0.715,-0.003935,12.179416
0.716,-0.002808,12.122929
0.717,-0.002164,12.405363
0.718,-0.002164,12.151172
0.719,-0.002164,11.896981
0.72,-0.001681,11.840494
0.721,-0.000876,11.840494
0.722,-0.001037,11.868738
0.723,-0.002486,11.784007
0.724,-0.00474,11.925225
0.725,-0.006833,12.122929
0.726,-0.008121,12.264146
0.727,-0.007799,12.207659
0.728,-0.005706,12.094685
0.729,-0.002808,12.151172
0.73,0.000412,12.235903
0.731,0.003149,11.784007
0.732,0.00798,11.755764
0.733,0.002183,11.981711
0.734,-7.10E-05,11.953468
0.735,-0.002486,11.953468
0.736,-0.004579,12.009955
0.737,-0.006028,12.37712
0.738,-0.008765,12.122929
0.739,-0.011503,11.896981
0.74,-0.013918,12.179416
0.741,-0.014723,12.009955
0.742,-0.015206,11.840494
0.743,-0.015206,11.896981
0.744,-0.013757,12.066442
0.745,-0.011664,11.981711
0.746,-0.008443,12.094685
0.747,-0.006189,12.122929
0.748,-0.003613,12.687798
0.749,-0.000876,12.122929
0.75,0.002022,11.981711
0.751,0.003632,12.009955
0.752,0.004598,11.812251
0.753,0.005242,11.868738
0.754,0.004759,11.868738
0.755,0.003632,12.151172
0.756,0.002022,12.264146
0.757,-0.000393,12.348876
